,Ticker,Name,Market,Panel,Sector,Sub-Sector,Comment,Name(EN),Company Code(12),Ticker(4),Ticker(5),Ticker(12),Sector Code,Sub-Sector Code,Panel Code,Idx
0,آباد,توریستی ورفاهی آبادگران ایران,بورس,بازار دوم بورس,هتل و رستوران,هتل ها ، اردو و دیگر تدارکات اقامت کوتاه,-,Abadgaran,IRO1ABAD0002,ABAD,ABAD1,IRO1ABAD0001,55,5510,5,1001
1,آبادا,تولید نیروی برق آبادان,بورس,بازار دوم بورس,عرضه برق، گاز، بخاروآب گرم,تولید انتقال و توزیع نیروی برق,-,Abadan PG,IRO1NBAB0009,NBAB,NBAB1,IRO1NBAB0001,40,4010,5,1002
2,آپ,آسان پرداخت پرشین,بورس,بازار اول (تابلوی فرعی) بورس,رایانه و فعالیت های وابسته به آن,مشاوره و تهیه نرم افزار,-,Asan Pardakht Pers,IRO1APPE0008,APPE,APPE1,IRO1APPE0001,72,7220,3,1003
3,آسیا,بیمه آسیا,بورس,بازار اول (تابلوی اصلی) بورس,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,بیمه غیرزندگی,-,Asia Bime,IRO1ASIA0008,ASIA,ASIA1,IRO1ASIA0001,66,6603,1,1004
4,اپال,فرآوری معدنی اپال کانی پارس,بورس,بازار دوم بورس,استخراج کانه های فلزی,استخراج آهن,-,Opal Kani Pars,IRO1OPAL0000,OPAL,OPAL1,IRO1OPAL0001,13,1310,5,1005
5,اتکام,بیمه اتکایی امین,بورس,بازار دوم بورس,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,بیمه غیرزندگی,-,Amin Company,IRO1ETKA0009,ETKA,ETKA1,IRO1ETKA0001,66,6603,5,1006
6,اخابر,مخابرات ایران,بورس,بازار اول (تابلوی اصلی) بورس,مخابرات,مخابرات,-,Iran Tele. Co.,IRO1MKBT0008,MKBT,MKBT1,IRO1MKBT0001,64,6420,1,1007
7,اردستان,سیمان اردستان,بورس,بازار دوم بورس,سیمان، آهک و گچ,تولید سیمان، آهک و گچ,-,Ardestan Cement,IRO1ARDS0004,ARDS,ARDS1,IRO1ARDS0001,53,5394,5,1008
8,اسیاتک,انتقال داده های آسیاتک,بورس,بازار دوم بورس,اطلاعات و ارتباطات,خدمات ارزش افزوده,-,Asiatech,IRO1ASTC0003,ASTC,ASTC1,IRO1ASTC0001,73,7310,5,1009
9,افق,فروشگاههای زنجیره ای افق کوروش,بورس,بازار دوم بورس,خرده فروشی،باستثنای وسایل نقلیه موتوری,خرده فروشی انواع موادغذایی،نوشیدنی وغیره,-,Ofogh Koorosh,IRO1OFOG0003,OFOG,OFOG1,IRO1OFOG0001,47,4711,5,1010
10,البرز,بیمه البرز,بورس,بازار اول (تابلوی اصلی) بورس,بیمه وصندوق بازنشستگی به جزتامین اجتماعی,بیمه غیرزندگی,-,S*Alborz Bimeh,IRO1BALB0001,BALB,BALB1,IRO1BALB0001,66,6603,1,1011
11,امید,تامین سرمایه امید,بورس,بازار دوم بورس,فعالیتهای کمکی به نهادهای مالی واسط,بجز تامین وجوه بیمه و بازنشستگی,-,Investment Banking,IRO1OMID0005,OMID,OMID1,IRO1OMID0001,67,6719,5,1012
12,امین,تامین سرمایه امین,بورس,بازار دوم بورس,فعالیتهای کمکی به نهادهای مالی واسط,بجز تامین وجوه بیمه و بازنشستگی,-,Amin Investment,IRO1TSAN0000,TSAN,TSAN1,IRO1TSAN0001,67,6719,5,1013
13,انرژی,بورس انرژی ایران,بورس,بازار اول (تابلوی فرعی) بورس,فعالیتهای کمکی به نهادهای مالی واسط,فعالیتهای مرتبط با اوراق بهادار,-,Other Energy B.,IRO1BENC0004,BENC,BENC1,IRO1BENC0001,67,6712,3,1014
14,بالبر,کابل  البرز,بورس,بازار دوم بورس,ماشین آلات و دستگاه های برقی,تولید سیم و کابل عایق,-,Alborz Cable,IRO1KALZ0002,KALZ,KALZ1,IRO1KALZ0001,31,3130,5,1015
